,gain,cumulative_cost
"SEMA4A,CD96,SEMA4A,LILRB4,P2RY13,CD96,P2RY13,LILRB4",0.0,1.6279069767441858
"SEMA4A,CD96,SEMA4A,LILRB4,LTB4R,CD96,LTB4R,LILRB4",0.0,1.689922480620155
"SEMA4A,CD96,SEMA4A,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,1.7054263565891472
"ITGAX,SEMA4A,ITGAX,LILRB4,CD96,SEMA4A,CD96,LILRB4",0.0,1.8294573643410852
"CR1,SEMA4A,CR1,LILRB4,CD96,SEMA4A,CD96,LILRB4",0.0,1.9224806201550386
"LTB4R,CD96,LTB4R,LILRB4,P2RY13,CD96,P2RY13,LILRB4",0.0,1.937984496124031
"P2RY13,CD96,P2RY13,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,1.9534883720930232
"LTB4R,CD96,LTB4R,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,2.0155038759689923
"SEMA4A,CD96,SEMA4A,CD33,LILRB4,CD96,LILRB4,CD33",0.0,2.077519379844961
"ITGAX,P2RY13,ITGAX,LILRB4,CD96,P2RY13,CD96,LILRB4",0.0,2.0775193798449614
"SEMA4A,LTB4R,SEMA4A,LILRB4,P2RY13,LTB4R,P2RY13,LILRB4",0.0,2.1240310077519378
"SEMA4A,LILRB4,SEMA4A,CLEC12A,P2RY13,LILRB4,P2RY13,CLEC12A",0.0,2.13953488372093
"ITGAX,LTB4R,ITGAX,LILRB4,CD96,LTB4R,CD96,LILRB4",0.0,2.1395348837209305
"ITGAX,CD96,ITGAX,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,2.1550387596899223
"CR1,P2RY13,CR1,LILRB4,CD96,P2RY13,CD96,LILRB4",0.0,2.1705426356589146
"SEMA4A,LILRB4,SEMA4A,CLEC12A,LTB4R,LILRB4,LTB4R,CLEC12A",0.0,2.201550387596899
"CR1,LTB4R,CR1,LILRB4,CD96,LTB4R,CD96,LILRB4",0.0,2.2325581395348837
"SEMA4A,LTB4R,SEMA4A,CD96,P2RY13,LTB4R,P2RY13,CD96",0.0,2.2325581395348837
"CR1,CD96,CR1,CLEC12A,LILRB4,CD96,LILRB4,CLEC12A",0.0,2.2480620155038755
"SEMA4A,CD96,SEMA4A,CLEC12A,P2RY13,CD96,P2RY13,CLEC12A",0.0,2.248062015503876
"ITGAX,SEMA4A,ITGAX,P2RY13,LILRB4,SEMA4A,LILRB4,P2RY13",0.0,2.2635658914728682
"SEMA4A,CD96,SEMA4A,CLEC12A,LTB4R,CD96,LTB4R,CLEC12A",0.0,2.310077519379845
"P2RY13,CD96,P2RY13,CD33,LILRB4,CD96,LILRB4,CD33",0.0,2.325581395348837
"ITGAX,SEMA4A,ITGAX,LTB4R,LILRB4,SEMA4A,LILRB4,LTB4R",0.0,2.3255813953488373
"ITGAX,SEMA4A,ITGAX,LILRB4,CLEC12A,SEMA4A,CLEC12A,LILRB4",0.0,2.341085271317829
"CR1,SEMA4A,CR1,P2RY13,LILRB4,SEMA4A,LILRB4,P2RY13",0.0,2.3565891472868215
"ITGAX,CR1,ITGAX,CD96,LILRB4,CR1,LILRB4,CD96",0.0,2.3720930232558137
"ITGAX,SEMA4A,ITGAX,P2RY13,CD96,SEMA4A,CD96,P2RY13",0.0,2.3720930232558137
"SEMA4A,CD96,SEMA4A,FUT3,LILRB4,CD96,LILRB4,FUT3",0.0,2.3720930232558137
